ZTF19aamhhae 0.040000 Ia
58641.207963 1 20.5871 0.218581
58638.1965856 1 20.6749 0.201906
58635.2290162 1 20.5524 0.180583
58628.2223495 1 20.357 0.197346
58616.2584954 1 20.0198 0.223317
58612.2836343 1 20.1882 0.146808
58606.4258565 1 19.8871 0.140824
58596.2459259 1 19.2231 0.0895249
58592.4503356 1 18.9422 0.208628
58589.4097685 1 18.6769 0.123274
58586.4057292 1 18.3607 0.0684559
58583.3627894 1 18.075 0.0651347
58580.4057523 1 17.8159 0.0482121
58575.3409375 1 17.5311 0.0341972
58572.3479861 1 17.4189 0.0478368
58567.4104398 1 17.4045 0.0536667
58560.2862037 1 17.9694 0.068835
58556.4555556 1 19.0365 0.109641
