ZTF20aagfjlj 0.045600 Ia
58894.316088 1 19.6182 0.189494
58891.2418634 1 18.8778 0.15536
58887.2521065 1 18.6215 0.162838
58884.2944676 1 18.1715 0.0792821
58876.3578704 1 17.6445 0.0603738
58876.3578704 1 17.6432 0.060421
58873.3568634 1 17.5508 0.0517612
58867.3971875 1 17.9004 0.0640202
58864.4009606 1 18.5252 0.0786248
