ZTF19aaqxosb 0.019310 II
58682.2375579 2 18.8174 0.11777
58679.1930671 2 18.6528 0.100312
58676.2081366 2 18.6538 0.105717
58670.1758565 2 18.4744 0.0816615
58663.1943056 2 18.5355 0.069702
58660.214294 2 18.5254 0.0727466
58657.2711921 2 18.5716 0.079603
58654.1915278 2 18.4538 0.0849618
58648.2115972 2 18.5058 0.112615
58642.2313773 2 18.467 0.0659107
58639.1694097 2 18.4346 0.0774022
58636.2254514 2 18.4776 0.0652214
58633.2084954 2 18.4838 0.0772256
58616.2985532 2 18.3484 0.0769145
58612.2470255 2 18.2702 0.0634978
58606.2728704 2 18.246 0.0567777
58597.3522569 2 18.0449 0.062397
58594.3368634 2 18.0588 0.0992644
58591.3795949 2 18.3967 0.115661
