ZTF20aadvunl 0.060000 Ia
58903.2012269 2 19.9179 0.133136
58903.1853819 2 19.9222 0.140533
58900.2170718 2 19.8181 0.145612
58898.1525116 2 19.6974 0.141941
58898.1403588 2 19.6737 0.106827
58892.2804861 2 19.5745 0.136853
58884.1710417 2 19.5912 0.227935
58882.1451736 2 19.2692 0.122935
58880.2052546 2 19.1981 0.101978
58878.1844329 2 19.0999 0.136479
58875.2169907 2 19.0298 0.08037
58874.2492824 2 18.934 0.0873991
58873.1910069 2 18.8478 0.0820911
58871.2708333 2 18.8584 0.0845211
58867.2671759 2 18.8172 0.0726688
58864.2451968 2 18.9372 0.0829594
58863.2236227 2 18.8839 0.182013
58862.3051968 2 19.0239 0.107875
58861.1370139 2 19.0934 0.194033
58860.280706 2 19.0099 0.131392
58860.2359144 2 19.1525 0.128015
58859.2723843 2 19.0882 0.164146
58856.1948843 2 19.4407 0.190728
58852.4290856 2 20.5193 0.245883
