ZTF20aavcvrm 0.055000 Ic-BL
58986.3840278 1 20.628 0.223622
58981.2982639 1 20.2568 0.236744
58980.4037963 1 20.2823 0.298234
58979.262338 1 20.418 0.309538
58976.4582176 1 19.6335 0.257195
58974.4618287 1 19.842 0.222879
58973.4451273 1 19.7117 0.161446
58972.449213 1 19.5984 0.130319
58971.4211111 1 19.6149 0.130842
58970.4473958 1 19.4526 0.110882
58968.4580324 1 19.3814 0.116728
58967.4245139 1 19.3355 0.0978745
58966.4337616 1 19.2568 0.110047
58965.4042014 1 19.1988 0.0982246
58964.3603009 1 19.3787 0.121633
58963.4257176 1 19.232 0.116943
58963.3700347 1 19.3309 0.106843
58962.3701273 1 19.2657 0.107124
58955.4153472 1 20.332 0.207178
