ZTF18aczeesl 0.018000 Ia
58660.1964352 1 20.6599 0.192187
58657.2029167 1 20.6766 0.220085
58644.203287 1 20.8353 0.367095
58641.2037384 1 20.6781 0.206944
58638.3286574 1 20.513 0.222388
58635.22625 1 20.56 0.164224
58632.3472454 1 20.5719 0.228557
58616.2875926 1 20.2297 0.254544
58612.3044907 1 20.1001 0.16814
58608.3050579 1 20.1413 0.180561
58596.2366088 1 20.0082 0.151081
58592.4421412 1 19.5829 0.222658
58586.4084722 1 19.8921 0.161742
58583.3909722 1 19.7452 0.185525
58580.4224421 1 19.8301 0.165892
58575.3400231 1 19.6351 0.0983258
58572.3876273 1 19.5575 0.145061
58567.4412963 1 19.4252 0.179285
58567.4104398 1 19.4807 0.134491
58560.2816435 1 19.2798 0.212981
58556.4542014 1 19.3589 0.127326
58547.3596991 1 19.23 0.116666
58541.436713 1 19.1339 0.0813108
58540.4271065 1 19.1929 0.0683419
58538.4487731 1 19.1927 0.27163
58526.4661574 1 18.9407 0.112518
58522.506875 1 18.7198 0.0823891
58511.5113773 1 18.1996 0.0793171
58511.5113773 1 18.1996 0.079317
58505.4886458 1 17.6948 0.103213
58502.4877431 1 17.5191 0.0515886
58494.5340972 1 16.8734 0.0314688
58491.4913194 1 16.6391 0.0343178
58487.5092593 1 16.4147 0.0301521
58480.5339352 1 16.2859 0.0327282
58472.4731944 1 16.9154 0.045435
