ZTF19aavqics 0.021500 II
58676.1758796 1 18.8766 0.17222
58668.1927546 1 18.8273 0.1166
58662.2001736 1 18.4656 0.0891652
58658.1937384 1 18.0583 0.0654925
58653.2566551 1 17.3815 0.0658565
58649.1753009 1 16.8927 0.0527775
58646.1714699 1 16.8737 0.151154
58642.1992593 1 16.8383 0.0418857
58639.2263889 1 16.9125 0.0450016
58636.2455324 1 17.3506 0.0468571
58633.2281944 1 17.7308 0.0552794
