ZTF19abimkwn 0.055000 Ia
58763.1935995 1 20.3526 0.264892
58762.1922338 1 20.6027 0.312594
58760.1940278 1 20.611 0.293746
58758.2096644 1 20.6332 0.272658
58754.1928588 1 20.4219 0.217108
58751.1931597 1 20.4706 0.223856
58750.1955324 1 20.5717 0.303827
58748.1934491 1 20.5141 0.280843
58747.1945718 1 20.2851 0.221779
58745.1946759 1 20.3375 0.265409
58744.1945486 1 20.2982 0.277802
58743.195544 1 20.1337 0.311822
58741.1949769 1 20.0919 0.392625
58736.4497917 1 20.0253 0.209186
58730.3070949 1 19.4762 0.11467
58725.3223495 1 19.0611 0.0886012
58712.4702431 1 17.9632 0.0709233
58708.4443403 1 17.7684 0.0686628
58705.4075579 1 17.6056 0.0532955
58699.4333102 1 17.5403 0.0494681
58696.407963 1 17.6911 0.0452752
58693.4072338 1 18.0597 0.083451
58690.306412 1 18.6933 0.0671758
