ZTF20aagzzbi 0.085000 Ia
58894.159213 1 19.4127 0.115238
58891.1581134 1 19.2066 0.14816
58887.1774306 1 19.2342 0.184765
58884.1108796 1 18.9984 0.258553
58882.1169097 1 18.9492 0.0955462
58880.1160648 1 18.8319 0.0985349
58877.1793519 1 19.0285 0.102991
58874.1579977 1 19.2995 0.156209
58871.1772338 1 19.7896 0.169213
