ZTF18aaklpdo 0.046000 Ia
58447.4891319 2 18.0148 0.10394
58443.4523032 2 17.7783 0.0683791
58440.546875 2 17.52 0.0587808
58438.5570718 2 17.5011 0.0501402
58434.4854861 2 17.1605 0.0506141
58432.5534028 2 17.4824 0.0536716
58430.4840162 2 17.5101 0.061687
58427.4925 2 17.6624 0.0712061
58276.1985764 2 18.6791 0.0723037
