ZTF18aaqkdwu 0.060370 II
58695.2071759 2 18.7038 0.151772
58670.1791204 2 19.5781 0.179074
58665.2678009 2 19.8277 0.149767
58663.2004051 2 19.7987 0.204489
58660.2292014 2 19.8452 0.199561
58657.2670602 2 19.4632 0.159645
58650.2366898 2 19.7252 0.197571
58647.2411343 2 19.495 0.144377
58647.2406597 2 19.7885 0.211078
58644.2589468 2 19.6222 0.17828
58641.2866898 2 19.6257 0.115099
58641.2796875 2 19.5453 0.118104
58638.2420139 2 19.3077 0.126881
58638.2198843 2 19.3934 0.123191
58632.2681134 2 19.3756 0.13811
58628.3214699 2 19.2329 0.124033
58618.2172222 2 18.8315 0.110423
58616.1848958 2 18.8117 0.0940161
58616.1730903 2 18.8466 0.112634
58612.2238079 2 18.9921 0.0876603
58608.262037 2 19.189 0.116075
58606.2664236 2 20.1823 0.222094
