ZTF19aclljyq 0.079000 Ia
58831.1037616 2 19.1933 0.15267
58819.1487269 2 18.887 0.0856171
58814.1893171 2 18.7462 0.121585
58812.2234028 2 18.6599 0.0839937
58811.1643287 2 18.7016 0.0798936
58806.2490046 2 18.4 0.073467
58803.2893866 2 18.3165 0.0823944
58794.2973843 2 18.5833 0.0773562
58791.3395139 2 18.9316 0.0870327
58788.2717014 2 19.5717 0.164905
