ZTF19aaoyech 0.060000 Ia
58633.24625 1 20.8356 0.294914
58616.2107639 1 19.5195 0.283733
58612.2559606 1 19.5411 0.11355
58609.2112153 1 19.2592 0.110704
58606.3961574 1 19.0821 0.100424
58599.1910764 1 18.5727 0.0800691
58596.2125231 1 18.5258 0.0745946
58592.1915278 1 18.2369 0.118641
58586.2584028 1 18.623 0.0754197
58585.2266204 1 18.7283 0.0814471
58580.2567593 1 19.74 0.127541
58580.2427431 1 19.6478 0.167189
