ZTF20aafeccu 0.107000 Ia
58894.2454514 2 20.4398 0.205065
58882.1438194 2 20.2509 0.252971
58880.2080324 2 19.9032 0.179011
58878.1825926 2 19.9444 0.327385
58875.2202778 2 19.799 0.189357
58873.1957407 2 19.5868 0.13186
58872.289213 2 19.6343 0.15286
58867.2459606 2 19.7254 0.194425
58864.2151042 2 20.0198 0.187638
