ZTF19aazgdvh 0.082200 Ia
58678.272963 1 19.6269 0.209097
58675.3035532 1 19.2592 0.147393
58672.1825579 1 19.0036 0.095067
58663.2131597 1 18.414 0.0566592
58660.2084144 1 18.3589 0.0682915
58657.2119097 1 18.3288 0.0657496
58653.27625 1 18.4657 0.068849
58650.1935532 1 18.9716 0.12973
58647.215 1 19.4493 0.150756
