ZTF19acrcxri 0.027400 II
58885.1325116 2 18.6585 0.19737
58880.1497106 2 18.3497 0.109638
58875.0985069 2 18.1543 0.234865
58872.115706 2 18.0803 0.0537711
58859.1525694 2 17.7662 0.0749522
58855.1917014 2 17.7279 0.0760227
58852.1535185 2 17.6581 0.0566852
58846.110706 2 17.5852 0.0512061
58838.0925347 2 17.5865 0.039674
58835.0859491 2 17.4434 0.092614
58831.0852546 2 17.479 0.0482784
58819.1670023 2 17.3781 0.0582126
58819.1402662 2 17.2836 0.0873351
58814.1506481 2 17.2676 0.0583219
58811.1270718 2 17.062 0.0480392
58806.2121412 2 17.0142 0.0455152
58803.2525116 2 17.1002 0.0766155
58801.2890509 2 17.2555 0.0612048
58800.2740278 2 17.4446 0.0549118
58799.2119097 2 17.5231 0.0645638
58797.1101389 2 18.7284 0.188145
