ZTF19aaohyqj 0.100000 Ia
58612.1929861 2 19.6843 0.146583
58608.2154861 2 19.5707 0.126024
58608.2150347 2 19.5936 0.150434
58601.2603009 2 19.3691 0.126888
58601.2566435 2 19.3081 0.127489
58597.3483912 2 19.1973 0.137369
58597.3294907 2 19.2088 0.154413
58597.2446412 2 19.2401 0.0993045
58594.1573495 2 19.0793 0.0924862
58594.1564468 2 19.1403 0.107317
58593.2829861 2 19.0083 0.150902
58591.3541667 2 18.8277 0.25526
58586.2139352 2 18.9857 0.0954953
58586.189838 2 18.9216 0.111887
58583.260081 2 18.9679 0.0896488
58583.2591667 2 19.0399 0.117688
58582.2229861 2 19.0829 0.0967637
58580.2282986 2 19.2514 0.120891
