ZTF19abrsssx 0.037000 Ia
58785.232581 2 18.8035 0.114387
58777.1895486 2 18.4854 0.0871717
58774.1910995 2 18.3174 0.100934
58771.2532176 2 18.2108 0.0859642
58761.2048264 2 17.8139 0.0569871
58758.2947106 2 17.7895 0.0451435
58750.255787 2 17.6413 0.0691676
58747.2533912 2 17.4445 0.059945
58744.3577431 2 17.2443 0.0505004
58740.3550463 2 17.0487 0.0553651
58735.3044444 2 16.9904 0.0368416
58732.2303472 2 17.0525 0.0408563
58724.3718056 2 17.773 0.0584166
58720.3709606 2 18.8622 0.086582
