ZTF20aaerxsd 0.055000 Ia
58913.5109491 1 20.7274 0.354764
58908.5329514 1 20.5908 0.310179
58906.5371528 1 20.2395 0.219331
58904.4479745 1 20.5093 0.258278
58903.540463 1 20.6297 0.244376
58899.4277778 1 20.1236 0.209158
58898.4459838 1 20.2326 0.155775
58893.4706134 1 19.5638 0.139783
58890.5646412 1 19.399 0.293339
58890.5584375 1 19.2935 0.205779
58887.4737269 1 19.0262 0.13715
58884.4749421 1 18.6485 0.0863577
58881.4921412 1 18.3809 0.0772271
58878.5077662 1 18.1033 0.0822001
58875.4945602 1 17.9265 0.067655
58872.4475116 1 17.8358 0.0641451
58863.4515625 1 18.1542 0.0678772
58856.556713 1 20.2968 0.229416
