ZTF19abhzdjp 0.100000 Ia
58717.2900463 1 19.9451 0.288898
58714.2044676 1 19.851 0.242874
58711.2038889 1 19.3531 0.244151
58710.2045139 1 19.3254 0.230933
58707.2654282 1 19.1586 0.207621
58700.2593519 1 18.8933 0.11135
58697.1990162 1 18.8897 0.0868783
58694.2184838 1 18.9896 0.0987833
58691.2144097 1 19.2503 0.104834
58688.2059491 1 19.8424 0.144332
