ZTF19acryurj 0.022000 II
58891.1118287 2 19.8515 0.20428
58887.1113194 2 19.277 0.142081
58884.1411921 2 18.9269 0.198881
58880.159456 2 18.6363 0.0912297
58871.1107755 2 18.1696 0.0599656
58867.1113657 2 18.0822 0.0685349
58861.180081 2 17.8319 0.0569466
58860.1787616 2 17.8554 0.079634
58859.1645486 2 17.824 0.0468775
58855.2046644 2 17.789 0.0391853
58854.1504282 2 17.8145 0.079202
58849.1502199 2 17.5974 0.0291632
58846.1443287 2 17.548 0.0303068
58837.0828935 2 17.3775 0.0283595
58836.0973727 2 17.3661 0.0319135
58833.1025347 2 17.3251 0.0425599
58830.2848264 2 17.2351 0.0455721
58830.2352546 2 17.2806 0.0475119
58827.2414468 2 17.2752 0.0426958
58819.1515741 2 17.0715 0.0394593
58819.1457986 2 17.1381 0.048935
58814.1756944 2 17.0093 0.064757
58812.2424074 2 17.0145 0.0439054
58811.1522106 2 17.0347 0.0343735
58806.2323264 2 17.144 0.0411971
58803.2811111 2 17.3434 0.0443314
58803.2471991 2 17.3941 0.0422473
58801.291331 2 18.1706 0.0821571
58800.303831 2 19.206 0.152935
58800.2898495 2 19.2234 0.16505
