ZTF19abjozed 0.080000 Ia
58736.4760648 1 20.7038 0.234843
58733.4562616 1 20.5326 0.253065
58730.4692477 1 20.0813 0.211197
58726.4406481 1 19.8576 0.138732
58723.4387384 1 19.5649 0.120995
58717.4049421 1 18.9178 0.110307
58709.461713 1 18.5607 0.0812894
58706.4194213 1 18.4229 0.06504
58703.4988542 1 18.5313 0.0718603
58699.4786111 1 18.8198 0.0782894
58696.4407639 1 19.2073 0.107075
58693.4266898 1 20.1541 0.146528
