ZTF18acebefc 0.036000 Ia
58896.1385301 2 19.9766 0.166451
58887.1460764 2 19.9874 0.236674
58887.1301968 2 20.2655 0.279269
58880.1644907 2 19.886 0.249598
58877.1403125 2 19.9723 0.223131
58873.1809491 2 20.071 0.192839
58861.1519213 2 19.9458 0.214404
58859.2080556 2 20.1175 0.283176
58859.1693287 2 19.881 0.241672
58850.1453588 2 20.1246 0.241741
58849.1703704 2 20.104 0.252977
58846.1318403 2 19.9455 0.251658
58793.3658912 2 19.8969 0.204885
58790.3731597 2 20.1128 0.240655
58789.2878704 2 20.2734 0.267997
58778.3815509 2 20.2126 0.272078
58775.3726968 2 20.0748 0.238485
58766.4857523 2 20.1077 0.253433
58763.3736458 2 20.1386 0.251531
58732.4763194 2 20.2248 0.205299
58716.4957407 2 19.9126 0.250765
58712.4444329 2 20.0602 0.283608
58707.484375 2 20.1114 0.207536
58704.4847917 2 20.0927 0.273684
58695.4860995 2 20.0599 0.241993
58692.4923727 2 20.112 0.336171
58493.1347106 2 19.7752 0.20609
58490.1839583 2 19.4923 0.157053
58486.143044 2 19.261 0.124563
58482.2037037 2 18.9673 0.0986343
58480.2998843 2 18.7123 0.110349
58474.3136921 2 18.3446 0.132365
58464.2540046 2 18.2666 0.0625868
58461.2575347 2 18.1484 0.0936763
58457.2131713 2 17.9986 0.0699016
58455.3078704 2 17.9301 0.064418
58455.2590509 2 17.9659 0.0698523
58450.3415162 2 17.5108 0.0681859
58447.3598264 2 17.3428 0.0505317
58443.3575463 2 17.2666 0.0500328
58437.3156944 2 17.5539 0.0554257
