ZTF18abquyqj 0.019000 Ia
58875.1439005 1 19.409 0.134555
58872.1646875 1 19.0667 0.116793
58867.128287 1 18.599 0.170596
58862.1092014 1 18.3345 0.0825828
58859.0912269 1 18.2033 0.092105
58854.1035764 1 18.0814 0.0932378
58850.1707639 1 18.3766 0.0689118
58846.0975 1 19.0069 0.109702
58358.3896412 1 17.0474 0.102999
