ZTF19abglmpf 0.041000 Ia
58730.1580324 2 18.43 0.0775734
58720.3320833 2 17.7784 0.0902612
58717.3125116 2 17.8038 0.0726055
58714.3475694 2 17.7285 0.0612966
58711.2985301 2 17.7306 0.0606101
58709.2029167 2 17.7216 0.0659438
58708.2033449 2 17.6254 0.0780825
58707.2020023 2 17.6897 0.0694069
58706.2050579 2 17.6235 0.0612594
58705.2025694 2 17.5309 0.074481
58704.2847685 2 17.4558 0.0614574
58703.2901736 2 17.3997 0.0571438
58702.2882986 2 17.2271 0.0501419
58701.2889005 2 17.2449 0.0390457
58700.2850231 2 17.1208 0.0498279
58699.2885069 2 17.0743 0.0447872
58697.3075579 2 17.0445 0.0456186
58696.2855556 2 16.9942 0.0524189
58695.2841088 2 17.1579 0.0623757
58694.1990046 2 17.0231 0.0489062
58693.224294 2 17.0145 0.0390337
58692.3268634 2 16.9573 0.0407494
58691.3620139 2 16.9929 0.0446597
58690.3460648 2 17.0513 0.035243
58688.37 2 17.141 0.044632
58685.3461343 2 17.3579 0.0487109
58684.2447106 2 17.5002 0.0561265
58683.2544792 2 17.6579 0.0668924
58683.2262616 2 17.6484 0.0630995
58682.2761111 2 17.8972 0.0693048
58681.2972222 2 18.0947 0.0893209
