ZTF19aawmqtd 0.057000 Ia-91T
58684.2144329 1 19.9275 0.173243
58681.1916898 1 19.7075 0.26601
58678.2878935 1 19.5724 0.203339
58672.3314699 1 18.9775 0.0889708
58666.2355208 1 18.4282 0.060949
58660.3403935 1 18.0494 0.0584248
58657.2369097 1 17.9339 0.0546502
58653.3120833 1 17.8282 0.0729842
58650.2138542 1 17.9057 0.0687485
58647.3941898 1 18.005 0.062576
58644.3385532 1 18.2981 0.0643215
58641.2497222 1 18.8433 0.0930265
58638.3539815 1 19.4925 0.120601
58635.4423611 1 20.3155 0.177603
