ZTF18abvfecb 0.125000 II
58487.2338657 2 20.4031 0.203254
58456.2531481 2 19.5741 0.168197
58456.218206 2 19.681 0.161356
58448.2722454 2 19.3855 0.117158
58441.3072106 2 19.196 0.196859
58437.3124884 2 19.1425 0.0986694
58434.3062037 2 19.0902 0.141531
58431.2931829 2 19.1286 0.137429
58428.2655324 2 19.0177 0.0888874
58425.3147222 2 18.9812 0.0901464
58422.3531366 2 19.0259 0.100308
58397.4383912 2 18.8303 0.0724289
58388.5232755 2 19.0531 0.127378
58385.3176389 2 19.1588 0.212728
58382.3739931 2 19.1605 0.0925929
58378.3976852 2 19.5595 0.100224
