ZTF19abqrrto 0.040000 Ia-91T
58805.206956 1 20.2919 0.237858
58781.4082523 1 20.1668 0.240969
58766.4550463 1 20.0406 0.180336
58763.4243287 1 19.9923 0.160612
58759.4147106 1 19.5988 0.12382
58756.4099884 1 19.3906 0.112621
58750.3784028 1 18.9102 0.0812124
58747.4893981 1 18.7338 0.11421
58744.4884954 1 18.3599 0.075385
58741.5190856 1 18.1737 0.120149
58738.4955556 1 17.8807 0.0587462
58735.4506829 1 17.8058 0.058678
58732.4231713 1 17.695 0.0555174
58727.4713773 1 17.6915 0.0544523
58724.4712037 1 17.8202 0.0425219
58718.4428819 1 18.7358 0.08931
