ZTF20aabqiav 0.050000 II
58914.5066898 2 19.9076 0.147957
58911.4968171 2 19.7268 0.179479
58906.5206481 2 19.5024 0.164335
58903.4595255 2 19.4684 0.104102
58898.4984838 2 19.4019 0.1173
58893.5238773 2 19.2632 0.136285
58890.498831 2 18.846 0.170589
58887.534294 2 19.0504 0.111627
58884.5576042 2 18.8211 0.0906244
58881.5452431 2 18.7374 0.0704901
58878.5600116 2 18.6413 0.113127
58875.5546181 2 18.4952 0.082747
58872.5591319 2 18.413 0.0787976
58864.5198611 2 18.132 0.0645426
58856.5662037 2 18.1202 0.0533205
58850.5081713 2 18.1977 0.065127
