ZTF18aarikzk 0.056300 Ia
58981.2944792 1 20.1733 0.205663
58980.225544 1 19.934 0.171862
58979.2459028 1 19.7852 0.192648
58974.4508449 1 19.1592 0.165027
58973.2688426 1 18.9202 0.11501
58972.2879167 1 18.9018 0.117965
58970.312662 1 18.6734 0.0903845
58969.3827778 1 18.7094 0.174887
58968.2900231 1 18.4452 0.0981378
58967.2758449 1 18.4634 0.096541
58966.4159722 1 18.3629 0.0611028
58965.4022685 1 18.2846 0.0627469
58964.3565856 1 18.269 0.0757023
58963.2948727 1 18.3231 0.0683793
58962.3750116 1 18.3332 0.0825263
58956.3778009 1 19.1306 0.0956859
58955.3991782 1 19.478 0.169469
