ZTF20aahdwze 0.049000 Ia
58954.2142593 2 20.0047 0.184976
58944.1765509 2 19.8447 0.276467
58939.2151505 2 19.4262 0.136813
58939.1816435 2 19.4351 0.129537
58915.1552083 2 18.3838 0.0841401
58913.2023148 2 18.3309 0.0939282
58912.2227431 2 18.3365 0.0803835
58909.3270486 2 18.3302 0.0680493
58906.2397917 2 18.2422 0.070466
58903.2193519 2 18.2919 0.0617164
58900.2372338 2 18.1188 0.0515148
58899.2937616 2 18.0776 0.054787
58899.2850579 2 18.062 0.066002
58896.3070718 2 17.8087 0.0528884
58896.305625 2 17.8167 0.0446584
58895.2884954 2 17.7698 0.053692
58894.2815046 2 17.709 0.0598347
58893.2875231 2 17.6328 0.0417013
58893.283831 2 17.6746 0.051808
58892.2763426 2 17.582 0.0495127
58892.2504051 2 17.5665 0.0436762
58891.3018403 2 17.5533 0.0499701
58890.4090162 2 17.4938 0.0582307
58890.4069329 2 17.4796 0.0539607
58886.3060995 2 17.4224 0.0569238
58886.3007407 2 17.3647 0.0486833
58885.2410301 2 17.4202 0.045638
58884.2421991 2 17.4765 0.0575601
58884.1802546 2 17.5462 0.138434
58883.2421759 2 17.4851 0.0453822
58883.237419 2 17.4894 0.0679455
58881.3481713 2 17.5777 0.0471477
58880.325787 2 17.577 0.0491531
58880.320706 2 17.5873 0.0468892
58879.3164583 2 17.6846 0.0943509
58878.3306944 2 17.7649 0.0601005
58877.3177083 2 17.923 0.052633
58877.315787 2 17.8794 0.054703
58876.327581 2 18.0149 0.0511647
58875.2538773 2 18.1859 0.060436
58874.3243171 2 18.4372 0.0796848
58874.3232755 2 18.4156 0.061864
58873.2836921 2 18.7122 0.0660186
58871.3217824 2 19.3512 0.142775
58871.3208681 2 19.4318 0.112056
58871.2919907 2 19.3199 0.116095
