ZTF18abmogag 0.082300 Ia
58894.1251273 2 19.4285 0.163492
58891.1191667 2 19.4744 0.147653
58887.1206134 2 19.665 0.240292
58881.1139236 2 19.6073 0.161738
58877.1216204 2 19.7131 0.152118
58874.1134028 2 19.9379 0.170543
58871.0965741 2 19.9938 0.165258
58856.1648495 2 19.7061 0.170044
58846.145706 2 19.8063 0.171228
58812.2075 2 19.7229 0.198253
58811.1498843 2 19.6043 0.194336
58790.1926852 2 19.7936 0.191167
58778.1331829 2 20.1713 0.234058
58763.3536921 2 19.7476 0.183626
58760.3000463 2 19.7003 0.14793
58757.3275694 2 19.8363 0.140657
58747.4010417 2 19.7869 0.164016
58736.4330671 2 19.638 0.112908
58733.4014815 2 19.6676 0.14143
58730.4023032 2 19.7498 0.130873
58725.4851157 2 19.594 0.114169
58719.3981597 2 19.752 0.137314
58712.4210069 2 19.7252 0.18555
58706.5054977 2 19.8186 0.161259
58704.5032986 2 19.7797 0.136872
58703.457662 2 19.8148 0.134658
58699.4828935 2 19.9425 0.138509
58696.498669 2 19.7984 0.16966
58696.4779745 2 20.1838 0.202005
58693.4663773 2 19.9482 0.194647
58690.4264815 2 19.9436 0.178424
58679.4681597 2 20.0729 0.248795
58676.4644213 2 20.057 0.169315
58670.4780208 2 19.7544 0.185889
58540.1164699 2 19.6077 0.186571
58493.1235301 2 19.9483 0.181871
58486.109294 2 19.772 0.179914
