ZTF19aamsetj 0.027510 Ic
58617.1873032 1 19.7869 0.169808
58608.1868287 1 18.9386 0.104408
58605.216412 1 18.5821 0.081223
58598.2036227 1 17.7942 0.0474219
58594.1806481 1 17.6827 0.0502306
58587.2137731 1 18.2082 0.0621615
58584.2228704 1 19.0874 0.106316
58575.2580208 1 20.0905 0.233728
58572.1956134 1 20.1615 0.244597
58567.2006019 1 19.7333 0.175688
58559.2983912 1 19.3067 0.241644
