ZTF19acxgwvo 0.014590 II
58863.0919907 2 17.8244 0.0718107
58860.129919 2 17.7391 0.0584191
58854.124294 2 17.8005 0.0969572
58847.0775347 2 17.69 0.0484915
58838.0938889 2 17.6114 0.0483402
58835.0745718 2 17.4793 0.0772999
58831.0698495 2 17.3277 0.047916
58828.1268403 2 17.3283 0.0608572
58820.1077662 2 17.594 0.218759
