ZTF19aafmvdb 0.023000 Ia
58605.2320255 1 20.6688 0.349701
58597.2733218 1 20.3151 0.206905
58580.2549421 1 20.163 0.188088
58572.2576505 1 20.2793 0.319962
58559.3145486 1 19.5572 0.162803
58556.3717245 1 19.4943 0.170575
58546.2739468 1 18.7554 0.127324
58546.2739468 1 18.7554 0.127324
58538.2971181 1 17.8855 0.160848
58526.4388542 1 17.2681 0.0498698
58522.4658912 1 17.2527 0.0476848
58511.4731944 1 19.5625 0.147436
58511.4731944 1 19.5625 0.147436
