ZTF20aaifyvz 0.060000 Ia
58914.5368981 2 19.3172 0.1064
58911.517338 2 19.2088 0.123484
58908.5147801 2 19.1733 0.131257
58904.5233102 2 19.0182 0.104532
58898.5233102 2 18.9768 0.097455
58894.527963 2 18.6647 0.0912395
58888.5098032 2 18.3969 0.134747
58885.5473843 2 18.3622 0.0754782
58879.5451273 2 18.5555 0.123001
58876.575 2 18.6382 0.0814241
58873.5368634 2 19.1749 0.115093
