ZTF19abkgbul 0.038000 Ia
58735.4885648 2 19.9437 0.176226
58732.5183449 2 19.7813 0.158542
58732.4827315 2 19.7435 0.134977
58724.4842245 2 19.1921 0.0866504
58714.443669 2 18.7306 0.120362
58707.4967824 2 18.28 0.0748236
58704.4965741 2 18.1658 0.0615392
58701.4849421 2 17.954 0.133805
58694.4874421 2 18.757 0.0775181
