ZTF19aamfxby 0.010000 Ia-91T
58598.2219329 1 20.2025 0.271814
58598.2209954 1 20.2193 0.208172
58594.2033449 1 19.6618 0.323967
58591.1709144 1 19.6839 0.272582
58591.1651505 1 19.489 0.233449
58587.201088 1 19.3344 0.175208
58587.1788079 1 19.2673 0.183968
58584.2364583 1 19.0966 0.149367
58584.2166204 1 19.0631 0.122852
58581.2025579 1 18.8036 0.109466
58581.1980208 1 18.7247 0.109662
58575.1969097 1 18.3239 0.11074
58572.1864815 1 18.3034 0.11574
58567.1807292 1 18.1839 0.0678805
58562.2370139 1 18.1286 0.125983
58562.1958796 1 18.3209 0.130369
58559.2997801 1 18.6327 0.141863
58559.1561111 1 18.4876 0.114042
58556.2484491 1 18.9001 0.136916
