ZTF19aaxffum 0.054988 Ia-91T
58700.1745139 2 19.4132 0.14824
58698.176169 2 19.6604 0.179703
58697.1689699 2 19.3806 0.142441
58690.169919 2 19.01 0.0888875
58684.1687384 2 18.6622 0.0853464
58681.2696181 2 18.5344 0.106151
58681.2495023 2 18.5747 0.104336
58678.1921759 2 18.5962 0.0821133
58678.1912269 2 18.3617 0.0898278
58675.2447917 2 18.4461 0.103096
58675.2334144 2 18.4385 0.0854715
58672.2125231 2 18.2931 0.069634
58672.1929398 2 18.4011 0.0694616
58669.1838426 2 18.2409 0.0877235
58669.1824537 2 18.2205 0.0909184
58666.2552431 2 18.1431 0.0683988
58666.1715162 2 18.2651 0.0835328
58663.1906481 2 18.0239 0.058626
58663.1892593 2 17.962 0.0733656
58660.2328009 2 17.8839 0.0538374
58660.231412 2 17.8142 0.0490281
58657.2539583 2 17.7302 0.0692341
58657.2535069 2 17.7182 0.0545797
58653.2275579 2 17.6337 0.0568037
58650.2541551 2 17.8159 0.0554312
58650.2527662 2 17.7879 0.0861618
58647.2532639 2 17.9308 0.0694147
58647.2523611 2 17.9616 0.0557354
58644.2730903 2 18.0965 0.0754169
58644.2534028 2 18.1477 0.0592867
58641.2928356 2 18.4679 0.0745401
58641.2742014 2 18.5297 0.0625301
58638.2914931 2 19.3255 0.133364
58638.2704977 2 19.41 0.157758
