ZTF19acfsqjx 0.055000 Ia
58798.1082986 1 19.5958 0.238993
58797.1383102 1 19.7449 0.245869
58796.1381713 1 19.4916 0.24557
58795.133206 1 19.3456 0.204423
58794.1372222 1 19.2747 0.179875
58793.1553819 1 19.6045 0.247239
58792.1949421 1 19.3569 0.156296
58791.1487269 1 19.2657 0.136652
58789.1697454 1 19.2626 0.149552
58788.1693287 1 19.2186 0.145331
58787.1684028 1 19.2459 0.153763
58786.176088 1 19.2423 0.219724
58785.1696412 1 19.25 0.128021
58783.1699306 1 19.2678 0.140782
58782.1688657 1 19.2877 0.157104
58781.1700463 1 19.3552 0.239462
58779.1705556 1 19.3595 0.172728
58778.1707292 1 19.5995 0.171503
58777.1705324 1 19.5612 0.150078
58775.1708449 1 19.8783 0.172508
58774.1707523 1 20.167 0.262753
