ZTF19acvgjme 0.070000 Ia
58838.1238657 1 19.3754 0.226611
58836.1070139 1 19.0961 0.109144
58835.124838 1 18.8679 0.192612
58833.1078356 1 18.7586 0.144616
58831.1265278 1 18.6113 0.155413
58830.0921644 1 18.4964 0.0998753
58820.1482292 1 18.3067 0.101196
58820.128044 1 18.4694 0.146865
58812.1620949 1 19.7209 0.146075
