ZTF20aalyeut 0.086400 Ia
58912.2729977 1 20.3482 0.321754
58906.354537 1 19.8788 0.228517
58905.3119444 1 19.764 0.202754
58903.3555093 1 19.7375 0.187823
58899.3767245 1 19.2908 0.143964
58895.3818171 1 18.9595 0.105039
58892.3795602 1 18.918 0.162232
58887.4230671 1 18.688 0.140479
58883.4598032 1 19.1599 0.15537
58879.4629514 1 19.8536 0.250513
