ZTF19aahsnmq 0.060000 Ia
58581.1751273 1 20.6491 0.365733
58567.1874306 1 20.199 0.240363
58562.2015394 1 19.8108 0.343718
58559.1533796 1 19.4917 0.1917
58547.2561458 1 18.3706 0.064422
58538.2914699 1 17.8682 0.107074
58534.256169 1 17.8799 0.104694
58526.4048032 1 18.594 0.201717
58522.1761574 1 19.851 0.166475
