ZTF18acqxsyi 0.063600 Ia
58486.4742014 2 19.8949 0.156526
58481.4183218 2 19.6763 0.150582
58472.4378704 2 19.1644 0.0923267
58471.5269097 2 19.1108 0.0957406
58464.5242824 2 18.9298 0.0722464
58461.5230093 2 18.6873 0.0785279
58455.4804398 2 18.3452 0.0605165
58455.4625579 2 18.3944 0.0682199
58448.461412 2 18.5103 0.0898612
58447.5162847 2 18.6279 0.0822968
58447.461956 2 18.5267 0.0862891
58443.4418866 2 19.2644 0.120542
