ZTF19abgprpq 0.050000 Ia
58738.133206 1 20.1782 0.314752
58732.1475231 1 20.2386 0.270965
58726.150787 1 20.1543 0.195879
58723.1858796 1 20.1385 0.157872
58716.1845486 1 19.5469 0.137579
58710.1491319 1 19.0393 0.181352
58707.2687153 1 18.6383 0.103483
58684.2144329 1 18.4754 0.0699488
58681.1916898 1 19.5283 0.275409
