ZTF19abfsxpw 0.029200 Ic-BL
58724.1878356 1 20.3425 0.186243
58718.172581 1 20.1256 0.155382
58715.1509954 1 20.1645 0.170615
58712.1466435 1 20.1071 0.211975
58706.1698264 1 19.7341 0.186568
58699.183044 1 19.1649 0.100627
58697.2074537 1 19.0165 0.0801872
58694.228287 1 18.6259 0.0652897
58691.2280093 1 18.2908 0.061399
58685.1894213 1 17.9682 0.0563174
58675.2957755 1 19.1491 0.121559
