ZTF19aaumvig 0.049000 Ia
58675.3193634 1 20.2709 0.27036
58672.3017477 1 20.5773 0.303894
58666.2132523 1 20.4435 0.214954
58660.2038889 1 20.1531 0.175991
58657.2150926 1 19.9745 0.160922
58653.2941204 1 19.5251 0.214177
58647.2168287 1 19.0305 0.128218
58644.2135417 1 18.9201 0.0974937
58641.2340509 1 18.6179 0.12769
58638.3583333 1 18.3218 0.0678016
58635.4205208 1 18.0925 0.0732214
58632.3403009 1 17.9218 0.0556731
58619.2774421 1 18.4868 0.169292
58616.4561111 1 19.2506 0.0917443
