ZTF19abdqaao 0.055000 Ia
58699.4218171 1 20.4916 0.166839
58697.2084375 1 20.2427 0.271532
58696.4169444 1 20.0817 0.113451
58693.4132986 1 19.6316 0.0901753
58690.4556597 1 19.3136 0.0824664
58686.4815856 1 18.8604 0.0887839
58683.4910417 1 18.6211 0.104747
58680.4610417 1 18.5381 0.0841294
58677.4628588 1 18.4371 0.0506282
58674.4523264 1 18.558 0.0673192
58668.4496412 1 19.3097 0.0845834
58665.4747801 1 20.5455 0.218477
