ZTF19aaypehm 0.110000 Ia
58690.1708218 2 20.1094 0.21433
58684.1873495 2 19.8802 0.168372
58681.248125 2 19.9423 0.268262
58678.1930787 2 19.7883 0.175982
58672.2134259 2 19.3934 0.119702
58669.1809838 2 19.2385 0.127257
58666.2580324 2 19.1007 0.0987038
58663.3048148 2 19.0532 0.101047
58660.2318981 2 18.9727 0.0820015
58657.2548727 2 19.0417 0.0977978
58653.2072454 2 19.229 0.140283
58650.2532523 2 19.3897 0.169866
58647.2537384 2 19.6441 0.188896
58644.2726042 2 20.1214 0.206545
