ZTF19aamhhey 0.045000 Ia
58641.3035185 2 19.8724 0.134849
58638.2569907 2 19.7688 0.139538
58635.2584259 2 19.6033 0.137009
58632.2801042 2 19.6192 0.122551
58628.2943634 2 19.4184 0.143265
58619.3285648 2 19.2209 0.156288
58616.3088657 2 19.1134 0.0943204
58612.3482407 2 18.9053 0.0909018
58606.3446412 2 18.6315 0.0806599
58596.3012037 2 18.112 0.0658681
58592.3247454 2 17.9854 0.128942
58589.3216319 2 17.9227 0.359362
58586.3248611 2 17.8426 0.0673265
58583.341088 2 17.7848 0.0739858
58580.3807755 2 17.634 0.0480513
58575.4031366 2 17.408 0.0413729
58572.3698148 2 17.3044 0.0566729
58567.3878472 2 17.3382 0.0528565
58560.4082292 2 17.6247 0.0618738
