ZTF18aajivpr 0.051500 Ia
58980.1994907 1 20.628 0.193658
58974.1966667 1 20.022 0.250088
58971.2823495 1 19.8644 0.198806
58968.2794792 1 19.5398 0.0970095
58968.2794792 1 19.5398 0.09701
58968.2581597 1 19.4799 0.105106
58965.221875 1 19.2317 0.0915833
58962.2403125 1 18.9767 0.083814
58954.2898495 1 18.6612 0.0740986
