ZTF19aakyxsq 0.083900 Ia
58608.2154861 2 20.2421 0.179557
58601.2603009 2 20.1 0.218633
58597.3483912 2 19.83 0.168971
58597.2446412 2 19.9411 0.154156
58594.1564468 2 19.7645 0.13035
58593.2829861 2 19.6596 0.236226
58586.189838 2 19.7237 0.191611
58583.260081 2 19.4872 0.122501
58582.2229861 2 19.563 0.108611
58572.2770718 2 19.1368 0.154408
58559.2484259 2 18.7331 0.128825
58558.2074421 2 18.6801 0.105762
58546.3152199 2 18.6919 0.102637
58541.2972106 2 18.8397 0.21302
58540.2550579 2 19.0738 0.119975
