ZTF19aayslow 0.060000 Ia
58692.1875347 2 18.9231 0.0856281
58682.2501273 2 18.6281 0.0963493
58679.2060764 2 18.5242 0.0810707
58676.2067593 2 18.4653 0.0694611
58670.1777431 2 18.1444 0.0620219
58667.2156134 2 18.0345 0.0435523
58663.1985417 2 17.9167 0.0546
58660.2213542 2 18.0013 0.0406449
58657.2693634 2 18.0562 0.0517826
58654.1957755 2 18.2438 0.0511489
58651.2485417 2 18.5317 0.087564
58648.2134375 2 19.0606 0.125234
58645.2789815 2 19.589 0.129507
58642.2337847 2 20.4782 0.221738
