ZTF18aacemcn 0.038000 II
58893.3248148 2 20.6876 0.210807
58893.2782639 2 20.8603 0.219488
58892.2457523 2 20.3121 0.186678
58881.3371644 2 20.4833 0.224789
58880.3178704 2 20.2493 0.215031
58879.3280556 2 20.1822 0.258179
58877.3267245 2 20.4391 0.252429
58877.3148148 2 20.2495 0.194948
58876.3065741 2 20.2768 0.168128
58875.3011806 2 20.3847 0.161026
58874.3042593 2 20.2461 0.164699
58874.2933796 2 20.2009 0.162457
58873.328287 2 20.3214 0.166956
58871.3161574 2 20.2681 0.194409
58871.3152431 2 20.1988 0.203217
58862.3403009 2 19.7991 0.191712
58855.5261806 2 19.5335 0.112886
58852.4553472 2 19.4684 0.099887
58849.438588 2 19.2972 0.0950411
58846.4541667 2 18.966 0.0722591
58846.4253125 2 19.0084 0.0756032
58838.5090278 2 18.5951 0.0957708
58837.4526157 2 18.614 0.0832752
58830.4560185 2 18.9077 0.0849239
58830.4334722 2 18.8709 0.124726
