ZTF19aavidqf 0.098000 Ia-91T
58672.3203935 1 20.6428 0.226719
58666.2438889 1 20.4146 0.179319
58665.2379977 1 20.4042 0.175468
58660.3455324 1 19.8497 0.14333
58660.3436111 1 19.8933 0.148265
58658.4452431 1 19.7928 0.191051
58657.4453819 1 19.6367 0.163809
58657.2443287 1 19.5096 0.116423
58655.2695833 1 19.2805 0.145414
58654.3085185 1 19.118 0.132835
58653.3378241 1 19.1305 0.158173
58653.309456 1 19.087 0.136672
58650.4539468 1 18.9363 0.115421
58650.4516667 1 18.8678 0.110417
58647.3872222 1 18.6937 0.0941556
58647.3509954 1 18.6723 0.0913219
58644.3487384 1 18.5822 0.0812754
58644.3464583 1 18.5873 0.0923
58641.2185417 1 18.5596 0.087135
58641.2166898 1 18.5344 0.083654
58638.3671412 1 18.5961 0.0667579
58638.3657523 1 18.5911 0.091025
58635.4530903 1 18.7242 0.0813443
58635.4464931 1 18.7063 0.0681447
58632.4311806 1 19.0185 0.0890231
