ZTF20aaqvzko 0.040000 Ia
58987.3182176 2 19.8654 0.136687
58981.2624074 2 19.7806 0.210172
58981.2619329 2 19.6448 0.154455
58978.2595486 2 19.37 0.155121
58972.1796759 2 19.3336 0.152864
58966.3808681 2 19.1048 0.0995926
58966.206088 2 19.0701 0.111068
58956.3003009 2 18.6654 0.0826426
58955.2387153 2 18.596 0.0663698
58944.349838 2 18.0479 0.0951228
58940.5240625 2 17.9231 0.0524807
58914.3623264 2 17.2586 0.042909
58914.361875 2 17.2316 0.035724
58911.2410995 2 17.5213 0.0656067
58911.2240856 2 17.5633 0.0557302
58905.2416204 2 19.0506 0.132796
58904.204919 2 19.5889 0.154171
