ZTF18abjtgdo 0.073930 Ia
58350.2602315 1 19.1289 0.109275
58350.2588194 1 19.1435 0.149411
58347.2021065 1 18.9082 0.0860422
58347.2011574 1 18.9747 0.121941
58344.1659491 1 18.6588 0.0733496
58344.1644213 1 18.6464 0.0754938
58336.2387153 1 18.3752 0.0686612
58336.2382176 1 18.3637 0.0612797
58333.1775579 1 18.3699 0.0641595
58333.1770602 1 18.4286 0.0636025
