ZTF19aaneugz 0.054500 Ia
58608.2154861 2 19.2647 0.114428
58601.2603009 2 18.7712 0.0915661
58597.3483912 2 18.5065 0.0834089
58594.1564468 2 18.5897 0.073273
58593.2834375 2 18.5643 0.12965
58586.189838 2 18.2209 0.0657477
58583.260081 2 17.9825 0.064564
58582.216956 2 18.0245 0.0627587
58574.2084028 2 17.915 0.103816
58572.2770718 2 18.3329 0.0888927
