ZTF20aawoojh 0.050000 Ia
58987.3629167 2 19.2297 0.0924052
58986.4586343 2 19.0842 0.124102
58985.4849306 2 19.1245 0.0951103
58985.4026042 2 19.0886 0.0727895
58983.3679745 2 19.0617 0.110819
58981.4135185 2 18.8841 0.107244
58980.4645833 2 18.7416 0.0912528
58979.3493171 2 18.7814 0.0826586
58977.4569097 2 18.6574 0.103325
58977.4360185 2 18.765 0.116745
58976.3418056 2 18.786 0.132974
58975.4351968 2 18.7736 0.112325
58974.35125 2 18.8435 0.127453
58973.3487847 2 18.799 0.100695
58972.4248032 2 18.9438 0.0960703
58971.4097338 2 18.9977 0.0864494
58970.407037 2 19.1763 0.095144
58968.4290046 2 19.4691 0.0955091
58967.4090625 2 19.7395 0.161233
58966.4635648 2 19.926 0.141631
