ZTF18abslxhz 0.130000 Ia
58388.1144907 1 20.2046 0.199837
58381.2274884 1 19.8025 0.175523
58379.1501157 1 19.622 0.147096
58378.1877083 1 19.5075 0.139418
58376.249294 1 19.5239 0.126802
58375.2330556 1 19.47 0.110826
58373.2106134 1 19.5219 0.117713
58372.2321644 1 19.4773 0.114262
58370.2120602 1 19.6751 0.140944
58369.2317708 1 19.6069 0.124161
58367.2331597 1 19.7934 0.127024
58366.2263542 1 20.0451 0.174362
