ZTF19acbkyma 0.096000 Ia
58791.1252431 2 19.472 0.162372
58788.2276042 2 19.4978 0.151499
58785.2421991 2 19.3984 0.161532
58781.234456 2 19.405 0.221036
58777.1918403 2 19.0036 0.0927986
58774.1929051 2 18.8083 0.101335
58771.2550347 2 18.8225 0.157869
58768.1852894 2 18.6181 0.113435
58765.1882755 2 18.6825 0.109802
58757.2975347 2 19.0182 0.0910972
