ZTF19abimzvh 0.080000 Ia
58747.4066898 2 20.3496 0.181388
58744.373831 2 20.0974 0.225623
58738.3857292 2 19.7733 0.21189
58736.4282986 2 19.9425 0.138556
58735.3854398 2 19.8188 0.11762
58733.4138542 2 19.7042 0.156541
58730.4067245 2 19.7965 0.144668
58727.4899769 2 19.5338 0.12345
58724.4064236 2 19.5475 0.105808
58724.4050694 2 19.4716 0.129332
58721.3220486 2 19.4714 0.205659
58718.4721759 2 19.2839 0.0974627
58718.4701968 2 19.2534 0.0773661
58715.3968519 2 19.0992 0.0858956
58715.3790741 2 19.2004 0.108228
58712.3995833 2 18.991 0.0784311
58712.3986227 2 19.0144 0.0964135
58706.4125 2 18.7916 0.0693434
58706.4115509 2 18.8007 0.0646282
58703.4352662 2 18.7747 0.0615082
58703.4348148 2 18.7626 0.0613009
58700.4060069 2 18.9208 0.0753387
58699.386956 2 18.8884 0.0714792
58697.405162 2 18.9527 0.0868653
58696.4736458 2 19.0947 0.071463
58694.4066667 2 19.4441 0.101096
58693.4706366 2 19.4669 0.0784054
58691.4001042 2 19.9965 0.163579
58690.4079282 2 20.4658 0.181033
