ZTF20aafcnem 0.040000 Ia
58900.4292014 2 18.1332 0.0625497
58895.4893056 2 17.9052 0.0487297
58894.5331597 2 17.8789 0.0444583
58893.5309722 2 17.8489 0.0391669
58890.4513426 2 17.752 0.085795
58888.4472685 2 17.6422 0.0607749
58887.5240972 2 17.5574 0.0613531
58886.5202546 2 17.5408 0.052833
58881.5522569 2 17.5191 0.0444429
58880.5378935 2 17.5281 0.0387688
58879.5379167 2 17.567 0.066853
58877.4954861 2 17.5795 0.047002
58875.5461806 2 17.7224 0.051755
58866.5339236 2 18.5384 0.0792498
58861.5321181 2 19.3415 0.166699
