ZTF18adasopt 0.040000 Ia
58522.1910764 2 19.6479 0.143487
58514.1344444 2 19.1153 0.115212
58510.2555787 2 18.9618 0.176088
58508.2626505 2 18.9617 0.0901188
58507.2630787 2 18.9635 0.0873305
58506.2418171 2 18.8862 0.125137
58504.2613889 2 18.8296 0.116504
58493.2676736 2 18.2676 0.0579127
58491.2409259 2 18.1857 0.0566163
58490.2059491 2 18.1699 0.0737701
58487.261794 2 18.2027 0.0594233
58482.215162 2 18.4379 0.0756257
58480.2957407 2 18.6535 0.0724801
